parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
Dstar,10.0,0.8571428571428571,10.0,0.45,9.642134094996065,6.941085990107351,36.08065,4.687508,0,0
f,10.0,0.8571428571428571,10.0,0.45,0.30502587965546063,0.2380764463684362,0.110006586,0.02827934,1,1
D,10.0,0.8571428571428571,25.71428571428572,0.02,0.2699816127504474,0.20722910614388973,0.2319077,0.13384677,1,0
Dstar,10.0,0.8571428571428571,25.71428571428572,0.02,513.3226202398104,25.682082726100486,35.21723,4.163034,1,0
f,10.0,0.8571428571428571,25.71428571428572,0.02,0.1413176008093968,0.08781331974156636,0.10806081,0.028244993,1,0
D,10.0,0.8571428571428571,25.71428571428572,0.08142857142857143,0.28803637067932625,0.22396143271223812,0.26974848,0.1237176,0,0
Dstar,10.0,0.8571428571428571,25.71428571428572,0.08142857142857143,126.07924005890072,25.195594478517815,33.693775,5.368993,1,0
f,10.0,0.8571428571428571,25.71428571428572,0.08142857142857143,0.1413176008093967,0.09039488838298818,0.1194324,0.02955996,1,0
D,10.0,0.8571428571428571,25.71428571428572,0.14285714285714285,0.30867897724467797,0.2459526056427775,0.30361888,0.18421742,0,0
Dstar,10.0,0.8571428571428571,25.71428571428572,0.14285714285714285,71.86516683357341,24.211077764746253,35.67906,4.270723,1,0
f,10.0,0.8571428571428571,25.71428571428572,0.14285714285714285,0.14131760080939665,0.09526460060898854,0.11481319,0.023125162,1,0
D,10.0,0.8571428571428571,25.71428571428572,0.20428571428571426,0.3325087726154524,0.272897694949646,0.36538514,0.18803054,0,0
Dstar,10.0,0.8571428571428571,25.71428571428572,0.20428571428571426,50.25536142207936,22.891681810579037,34.311096,4.9710135,1,0
